,id_amostra,identificacao_amostra,ponto,replica,campanha,data_coleta,tipo_amostra,analise,resultado,unidade
18,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,"Areia grossa (1 a 0,5 mm)",14.974,g/100g
19,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,"Areia média (0,5 a 0,25 mm)",18.694,g/100g
20,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,"Areia fina (0,25 a 0,125 mm)",19.299,g/100g
21,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,"Areia muito fina (0,125 a 0,062 mm)",10.543,g/100g
22,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,"Silte (0,062 mm a 0,00994)",17.16,g/100g
23,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,"Argila (0,00994 a 0,0009 mm)",4.066,g/100g
24,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,Grânulo (4 a 2 mm),12.634,g/100g
25,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,Areia muito grossa (2 a 1 mm),9.872,g/100g
26,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,"Areia grossa (1 a 0,5 mm)",16.136,g/100g
27,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,"Areia média (0,5 a 0,25 mm)",20.596,g/100g
28,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,"Areia fina (0,25 a 0,125 mm)",20.312,g/100g
29,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,"Areia muito fina (0,125 a 0,062 mm)",8.488,g/100g
30,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,"Silte (0,062 mm a 0,00994)",9.754,g/100g
31,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,"Argila (0,00994 a 0,0009 mm)",2.208,g/100g
32,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,Grânulo (4 a 2 mm),0.753,g/100g
33,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,Areia muito grossa (2 a 1 mm),9.677,g/100g
34,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,"Areia grossa (1 a 0,5 mm)",24.946,g/100g
35,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,"Areia média (0,5 a 0,25 mm)",35.376,g/100g
36,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,"Areia fina (0,25 a 0,125 mm)",24.086,g/100g
37,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,"Areia muito fina (0,125 a 0,062 mm)",5.054,g/100g
38,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,"Silte (0,062 mm a 0,00994)",0.108,g/100g
39,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,"Argila (0,00994 a 0,0009 mm)",0.0,g/100g
40,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,Grânulo (4 a 2 mm),3.019,g/100g
41,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,Areia muito grossa (2 a 1 mm),7.136,g/100g
42,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,"Areia grossa (1 a 0,5 mm)",26.624,g/100g
43,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,"Areia média (0,5 a 0,25 mm)",31.107,g/100g
44,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,"Areia fina (0,25 a 0,125 mm)",20.128,g/100g
45,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,"Areia muito fina (0,125 a 0,062 mm)",11.711,g/100g
46,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,"Silte (0,062 mm a 0,00994)",0.274,g/100g
47,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,"Argila (0,00994 a 0,0009 mm)",0.0,g/100g
48,50.22.7,SedPods,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,Grânulo (4 a 2 mm),0.212,g/100g
49,50.22.7,SedPods,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,Areia muito grossa (2 a 1 mm),2.456,g/100g
50,50.22.7,SedPods,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,"Areia grossa (1 a 0,5 mm)",8.267,g/100g
51,50.22.7,SedPods,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,"Areia média (0,5 a 0,25 mm)",17.12,g/100g
52,50.22.7,SedPods,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,"Areia fina (0,25 a 0,125 mm)",37.199,g/100g
53,50.22.7,SedPods,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,"Areia muito fina (0,125 a 0,062 mm)",17.317,g/100g
54,50.22.7,SedPods,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,"Silte (0,062 mm a 0,00994)",13.36,g/100g
55,50.22.7,SedPods,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,"Argila (0,00994 a 0,0009 mm)",4.069,g/100g
56,50.22.8,SedPods,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,Grânulo (4 a 2 mm),0.049,g/100g
57,50.22.8,SedPods,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,Areia muito grossa (2 a 1 mm),3.623,g/100g
58,50.22.8,SedPods,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,"Areia grossa (1 a 0,5 mm)",13.113,g/100g
59,50.22.8,SedPods,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,"Areia média (0,5 a 0,25 mm)",23.441,g/100g
60,50.22.8,SedPods,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,"Areia fina (0,25 a 0,125 mm)",44.516,g/100g
61,50.22.8,SedPods,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,"Areia muito fina (0,125 a 0,062 mm)",14.296,g/100g
62,50.22.8,SedPods,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,"Silte (0,062 mm a 0,00994)",0.961,g/100g
63,50.22.8,SedPods,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,"Argila (0,00994 a 0,0009 mm)",0.0,g/100g
64,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,Cascalho,25.52,%
65,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,Areia,57.06,%
66,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,Silte,13.88,%
67,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,Argila,3.53,%
68,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,Classificação*,Sedimento cascalhoso,
69,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,Cascalho,10.74,%
70,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,Areia,62.92,%
71,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,Silte,20.65,%
72,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,Argila,5.69,%
73,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,Classificação*,Sedimento cascalhoso,
74,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,Cascalho,8.24,%
75,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,Areia,70.53,%
76,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,Silte,17.16,%
77,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,Argila,4.07,%
78,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,Classificação*,Areia,
79,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,Cascalho,12.63,%
80,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,Areia,75.4,%
81,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,Silte,9.75,%
82,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,Argila,2.21,%
83,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,Classificação*,Sedimento cascalhoso,
84,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,Cascalho,0.75,%
85,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,Areia,99.14,%
86,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,Silte,0.11,%
87,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,Argila,0.0,%
88,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,Classificação*,Areia,
89,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,Cascalho,3.02,%
90,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,Areia,96.71,%
91,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,Silte,0.27,%
92,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,Argila,0.0,%
93,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,Classificação*,Areia,
94,50.22.7,SedPods,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,Cascalho,0.21,%
95,50.22.7,SedPods,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,Areia,82.36,%
96,50.22.7,SedPods,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,Silte,13.36,%
97,50.22.7,SedPods,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,Argila,4.07,%
98,50.22.7,SedPods,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,Classificação*,Areia,
99,50.22.8,SedPods,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,Cascalho,0.05,%
100,50.22.8,SedPods,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,Areia,98.99,%
101,50.22.8,SedPods,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,Silte,0.96,%
102,50.22.8,SedPods,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,Argila,0.0,%
103,50.22.8,SedPods,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,Classificação*,Areia,
104,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,Lama total (silte + argila),17.41,%
105,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,Areia total (cascalho + areia),82.58,%
106,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,Lama total (silte + argila),26.34,%
107,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,Areia total (cascalho + areia),73.66,%
108,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,Lama total (silte + argila),21.23,%
109,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,Areia total (cascalho + areia),78.77,%
110,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,Lama total (silte + argila),11.96,%
111,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,Areia total (cascalho + areia),88.03,%
112,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,Lama total (silte + argila),0.11,%
113,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,Areia total (cascalho + areia),99.89,%
114,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,Lama total (silte + argila),0.27,%
115,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,Areia total (cascalho + areia),99.73,%
116,50.22.7,SedPods,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,Lama total (silte + argila),17.43,%
117,50.22.7,SedPods,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,Areia total (cascalho + areia),82.57,%
118,50.22.8,SedPods,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,Lama total (silte + argila),0.96,%
119,50.22.8,SedPods,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,Areia total (cascalho + areia),99.04,%
120,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,-2.00,22.046,phi
121,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,-1.50,1.74,phi
122,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,-1.00,1.736,phi
123,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,-0.50,2.867,phi
124,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,0.00,3.91,phi
125,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,0.50,9.509,phi
126,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,1.00,9.881,phi
127,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,1.50,7.749,phi
128,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,2.00,8.066,phi
129,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,2.50,6.954,phi
130,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,3.00,3.56,phi
131,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,3.50,1.976,phi
132,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,4.00,2.593,phi
133,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,5.00,3.627,phi
134,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,6.00,3.079,phi
135,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,7.00,2.973,phi
136,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,8.00,4.202,phi
137,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,9.00,2.566,phi
138,50.22.1,Armadilhas,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,10.00,0.967,phi
139,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,-2.00,8.305,phi
140,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,-1.50,0.889,phi
141,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,-1.00,1.543,phi
142,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,-0.50,2.014,phi
143,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,0.00,3.756,phi
144,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,0.50,9.677,phi
145,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,1.00,10.132,phi
146,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,1.50,8.126,phi
147,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,2.00,9.737,phi
148,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,2.50,8.46,phi
149,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,3.00,4.522,phi
150,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,3.50,2.805,phi
151,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,4.00,3.695,phi
152,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,5.00,5.046,phi
153,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,6.00,4.248,phi
154,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,7.00,4.036,phi
155,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,8.00,7.324,phi
156,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,9.00,4.384,phi
157,50.22.2,Armadilhas,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,10.00,1.301,phi
158,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,-2.00,5.904,phi
159,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,-1.50,0.406,phi
160,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,-1.00,1.931,phi
161,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,-0.50,2.944,phi
162,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,0.00,4.079,phi
163,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,0.50,6.132,phi
164,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,1.00,8.842,phi
165,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,1.50,9.104,phi
166,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,2.00,9.59,phi
167,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,2.50,10.093,phi
168,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,3.00,9.207,phi
169,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,3.50,2.82,phi
170,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,4.00,7.723,phi
171,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,5.00,5.568,phi
172,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,6.00,4.02,phi
173,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,7.00,3.345,phi
174,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,8.00,4.226,phi
175,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,9.00,2.932,phi
176,50.22.3,Armadilhas,EP2,R1,1° Resgate 2022,16/02/2022,Sedimento,10.00,1.134,phi
177,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,-2.00,5.498,phi
178,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,-1.50,2.877,phi
179,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,-1.00,4.26,phi
180,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,-0.50,4.625,phi
181,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,0.00,5.246,phi
182,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,0.50,6.951,phi
183,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,1.00,9.185,phi
184,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,1.50,10.013,phi
185,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,2.00,10.583,phi
186,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,2.50,10.743,phi
187,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,3.00,9.569,phi
188,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,3.50,2.356,phi
189,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,4.00,6.132,phi
190,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,5.00,3.407,phi
191,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,6.00,2.202,phi
192,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,7.00,1.79,phi
193,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,8.00,2.356,phi
194,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,9.00,1.602,phi
195,50.22.4,Armadilhas,EP2,R2,1° Resgate 2022,16/02/2022,Sedimento,10.00,0.606,phi
196,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,-2.00,0.0,phi
197,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,-1.50,0.0,phi
198,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,-1.00,0.753,phi
199,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,-0.50,3.548,phi
200,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,0.00,6.129,phi
201,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,0.50,9.892,phi
202,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,1.00,15.054,phi
203,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,1.50,15.484,phi
204,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,2.00,19.892,phi
205,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,2.50,17.312,phi
206,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,3.00,6.774,phi
207,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,3.50,3.333,phi
208,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,4.00,1.72,phi
209,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,5.00,0.108,phi
210,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,6.00,0.0,phi
211,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,7.00,0.0,phi
212,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,8.00,0.0,phi
213,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,9.00,0.0,phi
214,50.22.5,SedPods,EP1,R1,1° Resgate 2022,15/02/2022,Sedimento,10.00,0.0,phi
215,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,-2.00,0.0,phi
216,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,-1.50,0.0,phi
217,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,-1.00,3.019,phi
218,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,-0.50,2.104,phi
219,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,0.00,5.032,phi
220,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,0.50,11.711,phi
221,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,1.00,14.913,phi
222,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,1.50,13.175,phi
223,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,2.00,17.932,phi
224,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,2.50,15.096,phi
225,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,3.00,5.032,phi
226,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,3.50,9.607,phi
227,50.22.6,SedPods,EP1,R2,1° Resgate 2022,15/02/2022,Sedimento,4.00,2.104,phi
